itemname,price,p,group,newdate
Lettuce,2030,.060000002,1,1989-03-01
Lettuce,3040,.040000021,1,1989-03-01
Lettuce,4050,.060000002,1,1989-03-01
Lettuce,5060,0,1,1989-03-01
Lettuce,6070,.040000021,1,1989-03-01
Lettuce,7080,.029999971,1,1989-03-01
Lettuce,8090,.030000031,1,1989-03-01
Cigarettes,10,1.46,1,1989-03-01
Cigarettes,1020,0,1,1989-03-01
Cigarettes,2030,.0099999905,1,1989-03-01
Cigarettes,3040,.019999981,1,1989-03-01
Cigarettes,4050,.0099999905,1,1989-03-01
Cigarettes,5060,.059999943,1,1989-03-01
Cigarettes,6070,.040000081,1,1989-03-01
Cigarettes,7080,.0099999905,1,1989-03-01
Cigarettes,8090,0,1,1989-03-01
Men's socks,10,1,1,1989-03-01
Men's socks,1020,.5,1,1989-03-01
Men's socks,2030,.35000002,1,1989-03-01
Men's socks,3040,.13999999,1,1989-03-01
Men's socks,4050,0,1,1989-03-01
Men's socks,5060,.50999999,1,1989-03-01
Men's socks,6070,.45000005,1,1989-03-01
Men's socks,7080,.049999952,1,1989-03-01
Men's socks,8090,.54999995,1,1989-03-01
Lettuce,10,.49000001,1,1989-04-01
Lettuce,1020,.055000007,1,1989-04-01
Lettuce,2030,.034999967,1,1989-04-01
Lettuce,3040,.069999993,1,1989-04-01
Lettuce,4050,.040000021,1,1989-04-01
Lettuce,5060,.020000041,1,1989-04-01
Lettuce,6070,.039999962,1,1989-04-01
Lettuce,7080,0,1,1989-04-01
Lettuce,8090,.040000021,1,1989-04-01
Lettuce,10,.55000001,1,1989-05-01
Lettuce,1020,.060000002,1,1989-05-01
Lettuce,2030,.10000002,1,1989-05-01
Lettuce,3040,.039999962,1,1989-05-01
Lettuce,4050,.050000012,1,1989-05-01
Lettuce,5060,.050000012,1,1989-05-01
Lettuce,6070,.039999962,1,1989-05-01
Lettuce,7080,.060000002,1,1989-05-01
Lettuce,8090,.040000021,1,1989-05-01
Cigarettes,10,1.46,1,1989-05-01
Cigarettes,1020,0,1,1989-05-01
Cigarettes,2030,.0099999905,1,1989-05-01
