date,division,up,down,level,up_ch,down_ch,total,up_sh,down_sh,level_sh,change_sh,division_s,division_sh,date2,date4,year,month,quarter
12,8,5,19,58,.076982297,-.16675931,82,.060975611,.23170732,.70731705,.29268295,Communication,Communication,01-01-1989,1989-01-01,1989,1,1
12,5,452,558,2648,.096122488,-.100005,3658,.12356479,.15254237,.72389281,.27610716,"Furnishings, household equipment and maintenance",Household,01-01-1989,1989-01-01,1989,1,1
14,11,0,0,0,,,0,,,,,Restaurants and Hotels,Restaurants & Hotels,01-03-1989,1989-03-01,1989,3,1
14,4,0,0,0,,,0,,,,,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-03-1989,1989-03-01,1989,3,1
14,6,0,0,0,,,0,,,,,Health,Health,01-03-1989,1989-03-01,1989,3,1
14,12,0,0,0,,,0,,,,,Miscellaneous goods and services,Misc,01-03-1989,1989-03-01,1989,3,1
14,3,0,0,0,,,0,,,,,Clothing and footwear,Clothing and footwear,01-03-1989,1989-03-01,1989,3,1
14,2,0,0,0,,,0,,,,,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-03-1989,1989-03-01,1989,3,1
14,5,0,0,0,,,0,,,,,"Furnishings, household equipment and maintenance",Household,01-03-1989,1989-03-01,1989,3,1
14,1,0,0,0,,,0,,,,,Food and non-alcoholic beverages,Food & drink,01-03-1989,1989-03-01,1989,3,1
14,10,0,0,0,,,0,,,,,Education,Education,01-03-1989,1989-03-01,1989,3,1
14,7,0,0,0,,,0,,,,,Transport,Transport,01-03-1989,1989-03-01,1989,3,1
14,9,0,0,0,,,0,,,,,Recreation and culture,Recreation & culture,01-03-1989,1989-03-01,1989,3,1
14,8,0,0,0,,,0,,,,,Communication,Communication,01-03-1989,1989-03-01,1989,3,1
15,1,2014,760,6744,.064184651,-.070812792,9518,.21159908,.079848707,.70855224,.29144779,Food and non-alcoholic beverages,Food & drink,01-04-1989,1989-04-01,1989,4,2
15,11,195,24,1786,.071428612,-.057189569,2005,.097256854,.011970075,.89077306,.10922693,Restaurants and Hotels,Restaurants & Hotels,01-04-1989,1989-04-01,1989,4,2
16,12,0,0,0,,,0,,,,,Miscellaneous goods and services,Misc,01-05-1989,1989-05-01,1989,5,2
16,6,0,0,0,,,0,,,,,Health,Health,01-05-1989,1989-05-01,1989,5,2
16,4,0,0,0,,,0,,,,,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-05-1989,1989-05-01,1989,5,2
16,7,0,0,0,,,0,,,,,Transport,Transport,01-05-1989,1989-05-01,1989,5,2
16,5,0,0,0,,,0,,,,,"Furnishings, household equipment and maintenance",Household,01-05-1989,1989-05-01,1989,5,2
16,11,128,22,1891,.091804862,-.064971387,2041,.062714353,.01077903,.92650664,.073493384,Restaurants and Hotels,Restaurants & Hotels,01-05-1989,1989-05-01,1989,5,2
16,1,1816,817,7096,.064732186,-.071428597,9729,.18665844,.08397574,.72936583,.27063417,Food and non-alcoholic beverages,Food & drink,01-05-1989,1989-05-01,1989,5,2
16,8,0,0,0,,,0,,,,,Communication,Communication,01-05-1989,1989-05-01,1989,5,2
