quote_date,item_id,name,date,median,price,p,keep,date2,date3,newDate,_merge
198807,320108,D. Cigarettes,6,1.4904166,10,1.4225,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,320108,D. Cigarettes,6,1.4904166,1020,.0054166317,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,320108,D. Cigarettes,6,1.4904166,2030,.012083292,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,320108,D. Cigarettes,6,1.4904166,3040,.018333435,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,320108,D. Cigarettes,6,1.4904166,4050,.032083273,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,320108,D. Cigarettes,6,1.4904166,5060,.040833354,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,320108,D. Cigarettes,6,1.4904166,6070,.02458334,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,320108,D. Cigarettes,6,1.4904166,7080,.014583349,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,320108,D. Cigarettes,6,1.4904166,8090,.009583354,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,510413,B. Men's socks,6,1.9473077,10,1.1646154,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,510413,B. Men's socks,6,1.9473077,1020,.18999994,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,510413,B. Men's socks,6,1.9473077,2030,.16615391,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,510413,B. Men's socks,6,1.9473077,3040,.23115385,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,510413,B. Men's socks,6,1.9473077,4050,.19538462,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,510413,B. Men's socks,6,1.9473077,5060,.1676923,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,510413,B. Men's socks,6,1.9473077,6070,.27346158,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,510413,B. Men's socks,6,1.9473077,7080,.31961536,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,510413,B. Men's socks,6,1.9473077,8090,.60192299,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198809,212511,C. Lettuce,8,.55500001,10,.43083334,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,212511,C. Lettuce,8,.55500001,1020,.045833319,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,212511,C. Lettuce,8,.55500001,2030,.030833334,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,212511,C. Lettuce,8,.55500001,3040,.032500029,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,212511,C. Lettuce,8,.55500001,4050,.014999986,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,212511,C. Lettuce,8,.55500001,5060,.03125,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,212511,C. Lettuce,8,.55500001,6070,.024999976,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,212511,C. Lettuce,8,.55500001,7080,.042916656,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,212511,C. Lettuce,8,.55500001,8090,.046250045,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,320108,D. Cigarettes,8,1.50375,10,1.4299999,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,320108,D. Cigarettes,8,1.50375,1020,.0091667175,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,320108,D. Cigarettes,8,1.50375,2030,.011666656,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
