description,shareRising_12m,meanRise_12m,shareRising_1m,meanRise_1m,item_id,p,up,down,level,up12,down12,level12,up_ch,down_ch,up_ch12,down_ch12,down_ch_mean,down_ch12_mean,all,down_sh,all12,down_sh12,division,group,year,month,quarter,cpih_coicop_weight,up_ch_weighted,up_ch12_weighted,freqRise_a,freqRise_m,freqFall_a,freqFall_m,sizeRise_a,sizeRise_m,sizeFall_a,sizeFall_m,WeightRise_a,WeightRise_m,dateMax,up_sh_longRun,up_ch_longRun,upRank12,downRank12
TAKEAWAY CHICKEN & CHIPS,.73846155,.15681618,.038961038,.079200469,220326,7.4400001,3,3,71,48,4,13,.029411735,-.027397299,.10897434,-.17884612,-.092672534,-.19447479,77,.038961038,65,.061538462,11,1101,2024,2,1,1.74,.13780881,.27286017,87,432,460,335,397,476,267,78,116,250,433,.068181589,.087869622,346,214
CHOCOLATE 4,.7352941,.14301221,.29411766,.069319107,212211,.85000002,30,4,68,50,2,16,.062500015,-.078947358,.13333337,-.12156865,-.15070963,-.12156865,102,.039215688,68,.029411765,1,101,2024,2,1,.60000002,.041591465,.085807331,88,41,511,331,429,490,104,191,385,452,433,.077376828,.092184611,286,350
NURSING HOME,.73451328,.13951613,.06666667,.11623206,520325,1309,9,3,123,83,6,24,.10190476,-.060772259,.10185185,-.049616899,-.094437078,-.05579228,135,.022222223,113,.053097345,6,603,2024,2,1,1.48,.17202345,.20648387,89,337,467,404,439,410,12,81,171,183,433,.06453526,.066173486,362,489
LAGER 10 - 24 CANS (440-500ML),.734375,.17838196,.11564626,.17064478,310216,13,17,2,128,94,22,12,.2,-.075416677,.13636361,-.10526316,-.075416677,-.11321861,147,.013605442,128,.171875,2,201,2024,2,1,.85000002,.14504807,.15162468,90,229,303,452,345,314,91,57,256,237,433,.19289945,.16395706,277,388
PACKET OF PEANUTS 150-300G,.73239434,.16778417,.028409092,.14103256,212806,1.2,5,4,167,104,8,30,.090909109,-.16666667,.090909109,-.59999996,-.12683824,-.57740808,176,.022727273,142,.056338027,1,101,2024,2,1,.95999998,.13539125,.16107281,91,474,465,402,373,366,545,142,243,252,433,.077144369,.14356525,403,7
JOINT OV/READ GAM/POR 450-900G,.73015875,.088031217,.0066225166,.10833335,211025,6,1,2,148,92,15,19,.10833335,-.18599033,.07142859,-.10000002,-.18599033,-.10921788,151,.013245033,126,.11904762,1,101,2024,2,1,.17,.018416669,.014965307,92,532,374,456,534,423,77,281,547,512,433,.086361617,.16988543,479,401
FRESH VEG-LETTUCE-ICEBERG-EACH,.72608697,.16669111,.24161074,.31540829,212511,.79000002,72,15,211,167,31,32,.2711865,-.17500003,.15384619,-.2461538,-.16930124,-.24781705,298,.050335571,230,.13478261,1,101,2024,2,1,.25999999,.082006149,.043339688,93,72,352,296,375,168,392,241,480,354,433,.30053857,.24388891,231,123
BOTTLE OF CHAMPAGNE 75 CL,.72580647,.11218628,.039999999,.22428174,310423,37.990002,4,17,79,45,9,8,.17602041,-.18421052,.1,-.066711143,-.17890741,-.09442082,100,.17,62,.14516129,2,201,2024,2,1,.31999999,.071770154,.035899606,94,429,338,85,492,256,50,262,501,375,433,.2140311,.23773012,377,466
PLUMS PER KG/PACK,.71428573,.42612749,.31016043,.21298976,212726,3.23,58,5,124,125,14,36,.17218214,-.38080496,.35714281,-.21316528,-.31584361,-.26934901,187,.026737968,175,.079999998,1,101,2024,2,1,.40000001,.085195906,.170451,98,30,426,380,98,266,435,467,229,347,433,.1858016,.35020918,41,156
FRESH VEG-BROCCOLI-PER KG,.71300447,.15739368,.12411348,.22313221,212530,2.395,35,17,230,159,41,23,.052884683,-.11764707,.14062506,-.22897202,-.1840131,-.24799719,282,.060283687,223,.1838565,1,101,2024,2,1,.25999999,.058014371,.040922355,99,212,285,274,395,257,394,275,487,407,433,.18744217,.24187721,270,139
WINDSCREEN WIPER BLADES,.71111113,.14420843,.038834952,.060992606,610221,11.8,4,26,73,64,8,18,.068953261,-.054991134,.08714892,-.12775525,-.061463069,-.15079804,103,.25242719,90,.088888891,7,702,2024,2,1,1.04,.063432306,.14997676,100,433,411,35,427,508,164,37,258,397,433,.056938674,.12388752,422,324
MUFFIN/INDIVIDUAL CAKE,.7096774,.14286403,.089743592,.051504474,220124,2.7,14,5,137,88,11,25,.037037,-.28571427,.11999998,-.18571432,-.30675781,-.22711141,156,.032051284,124,.088709675,11,1101,2024,2,1,2.6099999,.13442667,.37287512,101,284,412,359,430,518,343,461,71,257,433,.063283041,.11171967,312,202
CAR SERVICE- LOCAL GARAGE,.70175439,.17641456,.033898305,.14121212,610231,180,2,0,57,40,5,12,.14121212,,.098908961,-.11111111,,-.13631596,59,0,57,.087719299,7,702,2024,2,1,1.3,.18357575,.22933893,102,451,414,552,349,363,132,,144,171,433,.05274893,.12802288,383,377
MENS OFFICIAL FOOTBALL SHIRT,.69999999,.37794459,.077922076,.56240571,510127,72.489998,6,24,47,49,20,1,.35421786,-.49993747,.14285715,-.38452068,-.40098947,-.32783538,77,.3116883,70,.2857143,3,301,2024,2,1,.34,.19121794,.12850116,103,304,155,16,126,40,502,500,301,163,433,.11267601,.50288635,260,27
NURSERY FEES: CHILD 0-4,.69230771,.13236643,.046052631,.12040028,440232,50,7,1,144,90,6,34,.08219178,-.089285716,.098912999,-.14124998,-.089285716,-.12325956,152,.0065789474,130,.046153847,12,1204,2024,2,1,1.4,.16856039,.185313,104,400,479,500,456,401,106,74,199,190,433,.061532099,.072563522,382,294
LIQUID FOUNDATION 30-35ML,.69158876,.2726191,.070866145,.14643493,520243,10,9,6,112,74,7,26,.052631579,-.19090909,.11111111,-.2,-.20111181,-.13967021,127,.047244094,107,.065420561,12,1201,2024,2,1,.47999999,.07028877,.13085717,105,322,452,306,213,352,137,315,298,381,433,.082917735,.2762838,334,189
STAFF RESTAURNT HOT SNACK ITEM,.68965518,.50395358,.10909091,.070236087,220208,1.6,6,1,48,20,0,9,.040802479,-.058823541,.10797101,,-.058823541,,55,.018181818,29,0,11,1101,2024,2,1,.23999999,.016856661,.12094886,106,248,560,425,59,488,,33,313,518,433,.057445444,.14509469,348,
POTATO CRISPS-MULTI-PACK,.68846154,.14442658,.031690139,.16012055,212404,2,9,45,230,179,45,36,.080000021,-.10101012,.12820512,-.15384619,-.097110778,-.15292452,284,.15845071,260,.17307693,1,101,2024,2,1,1.8200001,.29141942,.26285639,107,460,299,100,426,335,168,83,121,88,433,.12280633,.21743448,292,264
FRESH VEG-COURGETTE-PER KG,.67685592,.17477793,.32258064,.14257514,212531,2.8800001,90,8,181,155,24,50,.037735812,-.068653658,.10714284,-.21299481,-.075588249,-.21902017,279,.028673835,229,.1048035,1,101,2024,2,1,.38999999,.055604305,.068163387,108,27,388,371,353,360,322,58,421,415,433,.14395498,.27558407,350,158
CHINESE TAKEAWAY,.67567569,.079790875,.057471264,.073469438,220319,6.9499998,5,4,78,50,3,21,.067796625,-.12132354,.068620533,-.06410256,-.11522288,-.10205127,87,.045977011,74,.040540539,11,1101,2024,2,1,1.74,.12783682,.13883613,109,363,489,308,543,484,66,121,283,265,433,.043581761,.070119537,487,470
CANNED TOMATOES 390-400G,.67518246,.16939165,.094736844,.30913275,212601,.69999999,27,5,253,185,49,40,.33333334,-.18333335,.1666666,-.10909091,-.18500996,-.14724259,285,.01754386,274,.17883211,1,101,2024,2,1,.25999999,.080374517,.044041827,110,275,292,430,370,173,155,279,476,357,433,.11140631,.2514056,208,380
HOME KILLED BEEF-LEAN MINCE KG,.67114097,.12084012,.053254437,.10051076,210403,8.3250008,9,7,153,100,22,27,.042654026,-.06933333,.090624988,-.085073739,-.1424659,-.11277082,169,.041420117,149,.147651,1,101,2024,2,1,.68000001,.06834732,.082171284,111,375,334,324,477,436,90,169,390,386,433,.12652619,.13878456,412,433
FRZN READY-COOKD MEAL SERVES 1,.6708861,.32180041,.049382716,.62943059,212918,2,4,1,76,53,13,13,.66666669,-.20588236,.24999999,-.12698413,-.20588236,-.21609859,81,.012345679,79,.16455697,1,101,2024,2,1,.16,.10070889,.051488064,112,390,313,463,169,25,315,323,458,310,433,.089425221,.24650103,109,326
PAINT GLOSS/EMUL 750ML-2.5LTR,.66942149,.17875744,.099337749,.30372721,410639,20,15,27,109,81,9,31,.29411766,-.13333334,.10576923,-.15050001,-.1607984,-.20176451,151,.17880794,121,.074380167,4,403,2024,2,1,.18000001,.0546709,.032176342,113,267,436,75,344,177,285,213,512,418,433,.11208224,.18208954,355,276
WHEEL ALIGNMENT,.66666669,.13087821,.03846154,.065784603,610241,64.949997,2,0,50,30,3,12,.065784603,,.083785094,-.23245612,,-.29642704,52,0,45,.06666667,7,702,2024,2,1,1.3,.085519984,.17014167,114,435,448,544,461,500,472,,231,346,433,.040454414,.1285682,437,131
COLA/FIZZY DRINK 330ML PK 4-8,.66326529,.1885785,.1902439,.25452861,212023,4.25,39,6,160,130,44,22,.23749995,-.22998184,.13333334,-.071428575,-.24579719,-.10562979,205,.029268293,196,.22448979,1,102,2024,2,1,.28,.071268015,.052801982,115,114,228,368,331,219,70,394,454,377,433,.18416384,.31338924,289,456
MULTI-VITAMINS CAPSULES/TABLET,.66292137,.16218948,.12149533,.077048503,520222,4.9899998,13,1,93,59,9,21,.077777758,-.050632924,.07692308,-.20080321,-.050632924,-.23226315,107,.0093457941,89,.10112359,6,601,2024,2,1,.89999998,.069343649,.14597054,116,216,393,481,385,479,355,24,266,384,433,.057476837,.22989869,459,174
DOG KENNEL FEES DAILY CHARGE,.66101694,.14926364,.067669176,.099546738,430622,22,9,1,123,78,1,39,.071428575,-.047619049,.12310606,-.047619049,-.047619049,-.047619049,133,.0075187972,118,.0084745763,9,903,2024,2,1,1.5,.14932011,.22389546,117,336,547,492,413,441,6,23,149,226,433,.05047144,.091316365,303,496
DRYCELL BATTERY 4 PACK EG AA,.65979379,.1622117,.12272727,.22810374,430539,4.9499998,27,0,193,128,26,40,.1875,,.11764706,-.36040044,,-.37057641,220,0,194,.13402061,5,505,2024,2,1,.5,.11405187,.081105851,118,215,353,557,384,250,524,,397,288,433,.08749371,.18720883,314,34
CHILLED READY MEAL-MEAT-SERVS1,.65909094,.083594695,.019417476,.14741784,212936,3.3499999,2,3,98,58,8,22,.14741784,-.028985549,.060606077,-.090938166,-.044106852,-.12082392,103,.029126214,88,.090909094,1,101,2024,2,1,.63999999,.094347417,.053500604,119,498,408,369,541,351,102,18,453,326,433,.10535495,.19415776,504,415
RAZOR CARTRIDGE BLADES,.65822786,.12476854,.073684208,.14100344,520241,10.99,7,7,81,52,10,17,.10879026,-.15396459,.066711143,-.16149667,-.19740312,-.17168352,95,.073684208,79,.12658228,12,1201,2024,2,1,.47999999,.067681655,.059888899,120,312,365,239,470,367,217,302,441,388,433,.098503739,.16269152,495,254
BACON-BACK-PER KG,.65644169,.1348865,.032258064,.096340753,210808,7.8600001,6,4,176,107,18,38,.068343386,-.09880282,.091561891,-.19959264,-.098568082,-.1767657,186,.021505376,163,.11042945,1,101,2024,2,1,1.53,.14740135,.20637634,121,458,385,405,451,447,229,86,172,233,433,.1018161,.14575845,401,192
BLEACH 750ML,.65454543,.19962753,.10434783,.45972222,430529,.94999999,12,0,103,72,9,29,.5,,.19600001,-.24000001,,-.24400865,115,0,110,.081818178,5,506,2024,2,1,.89999998,.41374999,.17966478,122,260,422,554,306,87,383,,214,44,433,.10368423,.20152617,167,128
PEARS-DESSERT-PER KG,.65425533,.26049235,.21951219,.16402413,212718,2.28,45,13,147,123,40,25,.1497006,-.080645181,.24528296,-.11999998,-.11682899,-.15711546,205,.063414633,188,.21276596,1,101,2024,2,1,.16,.02624386,.041678775,123,89,241,268,229,327,179,122,483,494,433,.23117758,.19817838,115,354
MASCARA,.65306121,.17080262,.0390625,.065273479,520223,9.9899998,5,7,116,64,8,26,.041666668,-.14285715,.11111111,-.16228071,-.17320104,-.18608563,128,.0546875,98,.081632651,12,1201,2024,2,1,.47999999,.031331267,.081985258,124,431,423,288,365,501,247,247,394,481,433,.067237951,.21757519,338,251
DRY CLEANING-MAN'S SUIT,.65079367,.10136593,.060810812,.074619979,440104,15.7,9,1,138,82,1,43,.061776064,-.1,.082758605,-.059880294,-.1,-.059880294,148,.0067567569,126,.0079365084,3,301,2024,2,1,.81,.060442183,.082106404,125,357,549,498,516,483,14,92,391,402,433,.0631354,.077055536,445,475
KEBAB- TAKEAWAY,.64999998,.12327011,.13157895,.17800322,220323,7.4899998,10,1,65,39,0,21,.19946812,-.030769201,.083333336,,-.030769201,,76,.013157895,60,0,11,1101,2024,2,1,1.74,.30972561,.21449,126,199,561,457,472,305,,8,164,76,433,.04782417,.097408496,443,
BOTTLE STILL WATER 500ML,.64942527,.30985546,.021978023,.26878881,212021,.41,4,14,164,113,28,33,.29710144,-.034482725,.12,-.26086956,-.076025583,-.46760985,182,.07692308,174,.16091955,1,102,2024,2,1,.20999999,.056445651,.065069646,127,490,322,229,178,203,538,60,426,412,433,.081909217,.20894185,310,110
MINERAL WATER STILL 1.5-2L,.64673913,.16948551,.1010101,.20139493,212010,1,20,17,161,119,19,46,.27999997,-.28571427,.11235958,-.2,-.24806234,-.20571889,198,.085858583,184,.10326087,1,102,2024,2,1,.20999999,.042292934,.035591956,128,265,390,215,369,280,297,397,503,450,433,.084862754,.1816743,324,184
MENS BASE LAYER TOP LONG/SHORT,.64634144,.39485839,.18518518,.1428228,510433,30,20,8,80,53,16,13,.16129032,-.20820829,.33333334,-.23019356,-.22194245,-.2404575,108,.074074075,82,.19512194,3,301,2024,2,1,.34,.048559751,.13425185,129,125,270,237,112,359,372,353,292,434,433,.10139434,.39942846,48,138
STAFF RESTAURANT MAIN COURSE,.64516127,.2139895,.056603774,.16859742,220214,3.2750001,3,4,46,20,5,6,.20192312,-.17326853,.092355892,-.2105263,-.16818625,-.21543898,53,.075471699,31,.16129032,11,1101,2024,2,1,.23999999,.040463381,.051357478,130,366,320,233,279,321,312,236,459,458,433,.082097858,.10784469,398,161
POWER DRILL-HAMMER ACTION,.64473683,.1746368,.15044248,.41357189,410614,50,17,2,94,49,11,16,.51724136,-.18916944,.10236221,-.20002663,-.18916944,-.25925007,113,.017699115,76,.14473684,5,505,2024,2,1,.34999999,.14475016,.061122879,131,171,339,428,355,108,410,289,437,239,433,.089663796,.1805492,361,178
EXERCISE CLASS UPTO 1HR,.64429528,.1037366,.057324842,.097462617,640222,7.5,9,2,146,96,12,41,.07142859,-.10414878,.080128208,-.070000015,-.10414878,-.070354104,157,.012738854,149,.080536909,9,904,2024,2,1,.36000001,.035086542,.037345178,132,364,425,461,508,444,22,100,498,471,433,.060405683,.075942844,450,459
DAILY DISPOSABLE SOFT LENSES,.64210528,.25908983,.072164945,.21430019,520139,33.5,7,1,89,61,3,31,.085714288,-.16666667,.10344828,-.06666667,-.16666667,-.192674,97,.010309278,95,.031578947,6,601,2024,2,1,.89999998,.19287015,.23318084,133,318,506,471,231,265,261,228,142,162,433,.026057523,.1442952,360,467
HOME KLD BEEF-RUMP/POPES STEAK,.64122134,.093241319,.042944785,.17345455,210406,18.629999,7,10,146,84,13,34,.21515369,-.029555548,.060648777,-.024149211,-.053104475,-.069162413,163,.061349694,131,.099236645,1,101,2024,2,1,.85000002,.14743638,.079255126,134,413,396,273,527,309,20,25,398,231,433,.16293484,.15731667,503,510
COOK-IN SAUCE-JAR/CAN 350-520G,.63809526,.28170785,.094017096,.35974026,212923,2.45,11,19,87,67,29,9,.42857143,-.050632939,.17751476,-.125,-.10344003,-.16672795,117,.16239317,105,.27619049,1,101,2024,2,1,.72000003,.259013,.20282966,135,279,167,95,206,135,198,98,177,119,433,.12252117,.35597721,185,339
HOUSEHOLD CLEANER CREAM/LIQUID,.63636363,.24814911,.18857142,.43089435,430509,1.5,33,1,141,98,24,32,.5,-.1891892,.2,-.07407409,-.1891892,-.19306862,175,.0057142857,154,.15584415,5,506,2024,2,1,.89999998,.3878049,.22333419,136,120,329,501,243,100,263,290,150,48,433,.11538103,.2897777,151,451
FRESH/CHILL ORANGE JUICE 900ML,.63529414,.19594872,.21052632,.25376061,212016,2.0999999,24,16,74,54,17,14,.11739701,-.33333337,.090909094,-.30150756,-.28747961,-.25955707,114,.14035088,85,.2,1,102,2024,2,1,.69999999,.17763242,.1371641,137,95,262,125,315,223,412,445,285,178,433,.13112469,.27219954,408,62
BURGER IN A BUN EAT IN OR TAKE,.63529414,.18876141,.07,.11708068,220328,4.5,14,3,183,108,8,54,.066071458,-.018867996,.16228072,-.11123234,-.11814056,-.22372891,200,.015,170,.047058824,11,1101,2024,2,1,2.6099999,.30558056,.49266726,138,330,476,443,330,408,332,126,36,80,433,.098586567,.11875022,216,375
CANNED FRUIT-400-450G,.63354039,.12009528,.10714286,.20303826,212807,1.15,21,25,150,102,43,16,.25,-.2,.10000002,-.1666667,-.19379775,-.17118628,196,.12755102,161,.26708075,1,101,2024,2,1,.23999999,.048729181,.028822867,139,249,178,145,478,278,216,299,523,433,433,.074189901,.1555189,369,233
CAR REPAIRS MAIN DEALER,.63265306,.12302557,.034482758,.015585713,610235,144,2,1,55,31,1,17,.015585713,-.07692308,.085714288,-.16666667,-.07692308,-.16666667,58,.017241379,49,.020408163,7,702,2024,2,1,3.25,.050653569,.39983308,140,448,526,433,473,541,197,61,61,428,433,.055432681,.087963983,433,237
LADY'S SCARF,.63043481,.77068287,.087837838,.6162768,510432,11,13,37,98,87,28,23,.3888889,-.29999998,.70707071,-.31611019,-.32260576,-.30737993,148,.25,138,.20289855,3,301,2024,2,1,.75,.46220762,.57801217,142,288,258,39,21,30,482,470,22,31,433,.097497873,.49237636,8,52
POTATOES- OLD WHITE PER KG,.6300813,.26341364,.4456929,.17871706,212310,.82999998,119,15,133,155,66,25,.15294117,-.13333337,.25000006,-.066666603,-.1711849,-.15347122,267,.056179777,246,.2682927,1,101,2024,2,1,.51999998,.092932872,.13697508,143,11,174,283,224,303,170,243,286,331,433,.1606344,.23836742,94,468
FRUIT PASTILLES 2,.62903225,.137016,.16883117,.14054076,212214,.75,13,2,62,39,11,12,.084033526,-.092982478,.14285718,-.11999997,-.092982478,-.11665451,77,.025974026,62,.17741935,1,101,2024,2,1,.30000001,.042162232,.041104801,144,146,295,386,444,369,95,79,485,451,433,.077198125,.11273452,252,355
FRESH VEG-CABBAGE-WHOLE-PER KG,.62770563,.21165316,.056390978,.33527422,212516,.80000001,15,9,242,145,60,26,.11940296,-.13750002,.23076929,-.16666664,-.18326609,-.16682354,266,.033834588,231,.25974026,1,101,2024,2,1,.13,.043585647,.02751491,145,367,190,352,283,153,199,272,527,443,433,.16423288,.27103898,119,249
SANDWICH-TAKE-AWAY (COLD),.62436551,.14628397,.052173913,.082278438,220303,3.3,12,12,206,123,33,41,.028258715,-.134058,.084507033,-.125,-.14806744,-.17420949,230,.052173913,197,.16751269,11,1101,2024,2,1,4.3499999,.3579112,.63633525,146,379,308,292,420,472,222,183,19,54,433,.071848646,.10286528,434,337
WOMEN'S JEANS- OWN BRAND,.62385321,.34196657,.12765957,.34136245,510248,21,30,15,190,136,35,47,.38095239,-.125,.35425264,-.23076923,-.19259967,-.21194127,235,.063829787,218,.16055046,3,301,2024,2,1,.34,.11606323,.11626863,147,203,324,266,154,149,307,295,324,284,433,.089615554,.36698538,43,136
PACK OF 5-6 INDIVIDUAL CAKES,.62365592,.25069106,.13461539,.5335688,210321,2,14,11,79,58,26,9,.80000001,-.4925926,.14285715,-.14893614,-.44466829,-.27710497,104,.10576923,93,.27956989,1,101,2024,2,1,1.87,.99777365,.46879229,148,194,163,179,241,50,444,506,43,2,433,.1678703,.36361852,261,278
THEATRE ADULT EVES-FRONT STLLS,.62295079,.25349677,.49411765,.25055158,640212,30,42,26,17,38,14,9,.15192309,-.14888889,.18333334,-.08529412,-.17900324,-.11111744,85,.30588236,61,.22950819,9,904,2024,2,1,2.1600001,.54119146,.54755306,149,7,218,18,238,227,85,263,26,20,433,.260683,.28927654,177,431
FABRIC CONDITIONER 500ML-1.5LT,.61904764,.39874482,.17391305,.3892549,430531,2.25,16,8,68,52,23,9,.32500002,-.15555556,.27272728,-.27272728,-.16699691,-.22092861,92,.086956523,84,.27380952,5,506,2024,2,1,.36000001,.14013177,.14354815,150,138,170,213,107,119,327,233,277,246,433,.1291966,.35220292,80,96
FRESH VEG-PEPPERS -LOOSE OR KG,.61885244,.41228783,.11400651,.099574015,212532,.55000001,35,5,267,151,48,45,.037735928,-.090909056,.14583339,-.11051282,-.23746255,-.22320421,307,.016286645,244,.19672132,1,101,2024,2,1,.38999999,.038833864,.16079225,151,232,267,437,104,440,331,382,244,466,433,.16142625,.22454341,245,379
CAR SERVICE- MAIN DEALER,.61702126,.17951506,.01923077,.15513353,610232,311,1,0,51,29,6,12,.15513353,,.086206898,-.14881602,,-.20510709,52,0,47,.12765957,7,702,2024,2,1,1.3,.20167358,.23336957,152,499,363,519,342,343,294,,141,151,433,.073168427,.11511096,430,279
SUGAR -GRANULATED-WHITE-PER KG,.61578947,.22797827,.004854369,.5333333,212101,1.1,1,3,202,117,36,37,.5333333,-.11111109,.15789478,-.50454545,-.088566802,-.43709344,206,.014563107,190,.18947369,1,101,2024,2,1,.60000002,.31999999,.13678697,153,540,278,448,265,51,536,73,287,73,433,.10497753,.10375029,223,8
OIL PER LITRE-MULTIGRADE,.61538464,.16412231,.05479452,.21653755,610303,14.29,4,4,65,32,9,11,.20386907,-.17917839,.096082777,-.04255319,-.16796578,-.11148091,73,.05479452,52,.17307693,7,702,2024,2,1,.25,.054134388,.041030578,154,371,300,287,379,262,86,234,486,420,433,.077792719,.14903469,389,501
FRESH VEG-ONIONS-PER KG,.6121673,.23485415,.044217687,.24172598,212519,1,13,10,271,161,38,64,.13422821,-.090909109,.16470586,-.038461503,-.13724463,-.13343427,294,.034013607,263,.1444867,1,101,2024,2,1,.51999998,.12569751,.12212415,155,408,340,350,257,233,130,159,310,268,433,.16960758,.21677467,212,506
DEODORANT/ANTI PERSPI 50-250ML,.61206895,.45240861,.083333336,.52691609,520216,2.49,11,27,94,71,29,16,.49812731,-.20634922,.22727272,-.20634922,-.26463374,-.23430672,132,.20454545,116,.25,12,1201,2024,2,1,.63999999,.3372263,.28954151,156,295,197,56,82,53,358,420,108,62,433,.13405447,.3894192,121,168
RESTAURANT CUP OF COFFEE,.60986549,.14480598,.054901961,.12134972,220121,3,14,0,241,136,2,85,.10157207,,.12200961,-.20694369,,-.20694369,255,0,223,.0089686103,11,1101,2024,2,1,.87,.10557426,.12598121,157,370,546,517,424,399,301,,304,300,433,.052299414,.11048409,308,166
MINTS,.6081081,.13623321,.19,.13598622,212202,.75,19,2,79,45,12,17,.084033526,-.19356541,.084033526,-.12500003,-.19356541,-.14607534,100,.02,74,.16216215,1,101,2024,2,1,.1,.013598623,.013623321,158,116,319,414,448,375,152,298,552,525,433,.068654187,.11113945,436,333
WOMEN'S NIGHTDRESS/PYJAMAS,.60765553,.36642176,.23305085,.47989479,510405,15,55,38,143,127,59,23,.24999999,-.25,.14285715,-.12004802,-.27498516,-.17377375,236,.16101696,209,.28229666,3,301,2024,2,1,.34,.16316423,.1245834,159,78,161,96,134,78,221,431,306,201,433,.11073355,.35352778,257,352
POTATO CRISPS-INDIVIDUAL PACK,.60248446,.13679346,.010204081,.17849466,220310,1.2,2,1,193,97,3,61,.17849466,-.1666667,.046511676,-.22500002,-.1666667,-.26077452,196,.0051020407,161,.018633541,11,1101,2024,2,1,.87,.15529035,.11901031,160,521,531,505,445,304,414,230,316,214,433,.043770354,.13036264,516,140
JIGSAW MINIMUM 100 PIECES,.60000002,.23234393,.22018349,.097402111,630373,10.99,24,1,84,63,21,21,.097402111,-.53368914,.1368909,-.31269544,-.53368914,-.29699573,109,.0091743115,105,.2,9,903,2024,2,1,.23999999,.023376506,.055762541,165,88,261,485,263,445,475,510,447,502,433,.13209698,.28014711,272,55
APPLES-DESSERT-PER KG,.60000002,.168015,.086206898,.12013859,212717,2,15,4,155,81,10,44,.11111114,-.1438328,.099999987,-.2659727,-.15301742,-.34509173,174,.022988506,135,.074074075,1,101,2024,2,1,.40000001,.048055436,.067206003,163,289,437,400,372,402,514,197,422,435,433,.19411421,.17355612,379,105
LAGER 10-24 BOTTLES 250-330ML,.60000002,.1549556,.033333335,.23093449,310217,13.75,2,20,38,30,18,2,.23093449,-.16666667,.13529412,-.140625,-.1267875,-.13937625,60,.33333334,50,.36000001,2,201,2024,2,1,.69999999,.16165414,.10846891,162,452,90,10,400,245,136,141,337,203,433,.21500538,.2119983,279,296
IN STORE CAFETERIA MEAL,.60000002,.11287973,.039999999,.027806079,220120,7.125,3,1,71,33,5,17,.039130419,-.13351135,.077220075,-.090909079,-.13351135,-.10993119,75,.013333334,55,.090909094,11,1101,2024,2,1,3.48,.096765153,.39282146,164,427,407,454,489,538,79,154,63,320,433,.078730196,.092275828,455,422
FRESH FISH-SALMON FILLETS-KG,.60000002,.10515673,.044642858,.14417842,211105,18.75,5,19,88,48,24,8,.13342229,-.25,.069146134,-.13857065,-.19452958,-.10208865,112,.16964285,80,.30000001,1,101,2024,2,1,.60000002,.086507052,.063094042,166,404,144,86,504,354,67,300,431,344,433,.16065606,.1917365,486,302
QUICHE 340G-450G,.60000002,.090133972,.072463766,.25230765,212941,2.8499999,15,33,159,117,40,38,.30769226,-.014084494,.086956546,-.014084494,-.024200097,-.037128177,207,.1594203,195,.20512821,1,101,2024,2,1,.17,.042892303,.015322776,161,317,252,98,531,225,4,6,545,446,433,.18300606,.19124475,426,513
FRESH/CHILLED CHICKEN  PER KG,.59821427,.14747156,.089041099,.059981897,210905,3.4250002,13,15,118,67,20,25,.041509394,-.038147166,.086956546,-.067564175,-.060734496,-.1230051,146,.10273973,112,.17857143,1,101,2024,2,1,.68000001,.040787689,.10028066,167,285,293,188,417,510,105,35,355,456,433,.15632753,.14705402,423,464
POTATOES-NEW-PER KG,.594697,.23748928,.18996416,.16273983,212309,1.4,53,19,207,157,41,66,.053333361,-.16842102,.1666666,-.18518518,-.18727069,-.24067739,279,.068100356,264,.15530303,1,101,2024,2,1,.25999999,.042312354,.061747212,168,118,330,251,254,329,373,283,435,449,433,.18101944,.4079991,209,203
FROZEN GARDEN PEAS 800G-1KG,.59440559,.2913014,.082417585,.34256515,212609,1.45,15,6,161,85,17,41,.39499998,-.02352939,.16000004,-.2831541,-.089694194,-.19104977,182,.032967035,143,.11888112,1,101,2024,2,1,.13,.044533469,.037869181,169,297,375,356,199,148,256,75,497,439,433,.097941354,.17988749,219,82
DRIVING LESSON 1 HOUR,.59042555,.11368279,.070754714,.10186138,440105,36,15,0,197,111,2,75,.085714288,,.085714288,-.19047619,,-.19047619,212,0,188,.010638298,7,702,2024,2,1,.60000002,.06111683,.068209678,170,323,540,543,487,432,255,,420,401,433,.052209932,.069562688,432,199
CANNED SOUP-390-425G,.58715594,.098713748,0,,212910,1.2,0,40,83,64,14,31,,-.074626878,.087719321,-.10049021,-.09994071,-.206908,123,.32520324,109,.12844037,1,101,2024,2,1,.44,,.04343405,171,542,360,12,522,,299,91,479,,433,.099390604,.15985733,421,395
HOTEL 1 NIGHT PRICE,.58490568,.19150177,.46575344,.25397047,640406,117.99,34,19,20,31,18,4,.15192309,-.089743592,.088235296,-.1231243,-.11997642,-.1436242,73,.26027396,53,.33962265,11,1102,2024,2,1,7.3600001,1.8692228,1.409453,172,10,106,34,325,222,145,129,5,1,433,.2416902,.18917733,417,346
CEREAL BAR,.58461541,.26180857,.17307693,.25515917,210215,.31,36,17,155,114,33,48,.24212895,-.375,.13636364,-.33333331,-.27386847,-.23995271,208,.081730768,195,.16923077,1,101,2024,2,1,.34,.086754121,.089014918,173,141,307,220,226,218,370,430,378,343,433,.15523992,.58845764,276,48
