description,shareRising_12m,meanRise_12m,shareRising_1m,meanRise_1m,item_id
HONEY JAR/BOTTLE 340G-454G,.66666669,.16352174,.18666667,.27593544,212107
COMPUTER GAME 3,.66666669,.14833233,.23076923,.5652436,630380
RICE MICRO POUCH/TRAY 220-280G,.66477275,.19462486,.19672132,.34751326,210217
NURSERY FEES: CHILD 0-4,.6640625,.10821429,.070422538,.11997985,440232
FRESH/CHILL ORANGE JUICE 900ML,.66363639,.30024379,.2264151,.13182664,212016
KITCH WALL UNIT WIDTH 800-1000,.66326529,.21693103,.11023622,.1459296,430139
CONDOMS PACK OF 3-14,.66055048,.14849892,.076335877,.19153342,520230
CAR REPAIRS MAIN DEALER,.66000003,.10950281,.057971016,.13660766,610235
"WOMEN'S SHOES-FLAT MAX 1"" HEEL",.65968585,.34842265,.057268724,.29763514,510530
DOUBLE WARDROBE,.65771812,.25929153,.29292929,.24441853,430101
HAIR GEL 150-200ML,.65765768,.19049259,.168,.16440131,520237
WOMEN'S JEANS- OWN BRAND,.65665233,.17153192,.27480915,.27669486,510248
FRYING PAN 24-30CM,.65562916,.25129572,.08387097,.35867205,430423
STAFF RESTAURANT MAIN COURSE,.65384614,.34906256,.071428575,.075997517,220214
MEN'S CASUAL TROUSERS,.65367967,.20850466,.087272726,.23978016,510118
TISSUES-LARGE SIZE BOX,.65151513,.35471243,.16239317,.12634741,520213
HOME CARE ASSISTANT HRLY RATE,.64935064,.13438365,.030303031,.1878839,440128
MENS OFFICIAL FOOTBALL SHIRT,.64864862,.43849179,.13541667,.51281762,510127
RECORDABLE CD PRICE PER CD,.64814812,.24916264,.031496063,.15833335,630226
MAN'S HAIRCUT,.64655173,.12323669,.031055901,.087345958,520301
PLASTERS-20-40 PACK,.64601767,.3716369,.016806724,.10270473,520228
WOMANS BOOTS,.64485979,.58243656,.25,.27268147,510529
"MILK FLAVOURED, 180-500MLS/GMS",.64444447,.23856981,.1891892,.27518344,211713
PERFUME/FRAGRANCE MEN OR WOMEN,.63829786,.59787083,.2016129,.32059518,520234
WOMEN'S VEST/STRAPPY TOP,.6372093,.58697659,.12550607,.57436228,510244
WHEEL ALIGNMENT,.63461536,.14295159,.039999999,.071743593,610241
CHEST OF DRAWERS,.63068181,.26996225,.24229075,.21527588,430127
WHITE WINE- NEW WORLD 75CL,.62765956,.10096591,.3364929,.16240928,310420
WINDSCREEN WIPER BLADES,.62616825,.22045365,.055555556,.065993965,610221
SHOWER HEAD,.625,.27028114,.067226894,.10204171,410631
CAR SERVICE- LOCAL GARAGE,.62295079,.18878733,.049382716,.13460694,610231
ORANGES-CLASS 1-EACH,.62258065,.42222953,.13436693,.27106577,212709
PAIN KILLER TABLETS-16-24 PACK,.61946905,.22047193,.11016949,.17951912,520227
BOOK-NON-FICTION-HARD-COVER,.61904764,.31225601,.22727273,.33710495,630425
LADIES HAND/SHLDER BAG,.61904764,.25581563,.083333336,.3489508,520109
PORTABLE SPEAKER,.61888111,.29669979,.32923076,.12064161,630162
MEN'S TRAINING SHOE-SPORTSWEAR,.61818182,.35469258,.13636364,.09395209,510516
WHITE WINE- EUROPEAN 75CL,.61809045,.15300892,.17592593,.15028089,310419
KNITTING WOOL-DOUBLE KNIT-100G,.61764705,.1796366,.03960396,.46586135,510429
FLOOR RUG STATE SIZE & MATERIA,.61748636,.40175077,.083018869,.24797298,430235
CAR SERVICE- MAIN DEALER,.61702126,.20082743,.059701491,.064608231,610232
WOMENS BLOUSE/SHIRT 1,.61666667,.32057121,.23913044,.45588896,510206
PREMIUM POTATO CRISPS/CHIPS,.61589402,.2619122,.15172414,.19031857,212408
AVOCADO PEAR-EACH,.61564624,.2642228,.090090089,.1922774,212710
CHILD'S TRAINERS-SPORTS,.61467892,.1813802,.094202898,.24341176,510528
WASHING LIQUID 800ML/1.5LTR,.61403507,.4326615,.21925133,.24119572,430540
WOMENS SHORT SLEEVE SPORTS TOP,.61250001,.30691525,.13736264,.36267096,510246
WALKING/HIKING BOOT,.60919541,.32293135,.13675214,.66886157,510534
MEN'S FORMAL SHIRT-LONG SLEEVE,.60869563,.25696641,.081180811,.29774538,510109
MENS CASUAL SHIRT,.60851061,.31332982,.15302491,.4208774,510131
SHAMPOO-250-400ML,.60799998,.35333976,.20567375,.60691422,520226
ROSE WINE-75CL BOTTLE,.60747665,.19080368,.1496063,.068248197,310425
FRESH VEG-MUSHROOMS-PER KG,.60606062,.18851514,.10421836,.077189676,212520
WOMEN'S PANTS,.60377359,.26143348,.15686275,.17439044,510406
CARTON/BOX OF CHOCS 150-400GM,.60344827,.50169289,.090909094,.22727272,212218
MEN'S PANTS/BOXER SHORTS,.6025641,.21376476,.043795619,.18358046,510402
DEODORANT/ANTI PERSPI 50-250ML,.60185188,.37012464,.23134328,.52469581,520216
DRIED FRUIT - EG APRICOTS,.60159361,.18565491,.13846155,.17023525,212808
SUNSCREEN - SPEC SIZE/SPF,.60000002,.45154887,.021276595,.14173624,520235
WOMEN'S TROUSERS-FORMAL,.59915614,.34774381,.08273381,.45056912,510236
"FRUIT SQUASH, 750ML - 1.5LT",.5970149,.23023075,.18048781,.2943123,212001
GIRLS JACKET (5-13 YEARS),.59685862,.50365847,.26635513,.28667611,510347
"POPCORN, BAG, 10-30G",.59523809,.21822415,.040816326,.12433866,210218
PLAIN GLASS TUMBLER,.59405941,.54180735,.015873017,.15260737,430422
SPARKLING WINE 75CL MIN 11%ABV,.59278351,.11190274,.14678898,.1295165,310426
OIL PER LITRE-MULTIGRADE,.5925926,.40356591,.03846154,.12262192,610303
WOMEN'S SANDALS,.59195405,.49743587,.21176471,.39707541,510506
MINICAB FARE FOR 2 MILES,.59047621,.25712067,.03846154,.22777778,620308
CHILDS SIT & RIDE TOY U'ER 5'S,.59027779,.29406545,.18120806,.073854439,630376
POTTING COMPOST,.58904111,.3895261,.052631579,.45826092,630510
WOMENS SPORTSWEAR SHORTS,.58823532,.40993062,.099290781,.10778337,510254
WOMENS BASIC PLAIN T-SHIRT,.58823532,.38813201,.070866145,.42656225,510215
WOMENS HAIR COLOURANT 60-140ML,.58715594,.15431699,.12068965,.2287568,520236
SOFT PLAY SESSION TIME PERIOD,.58646619,.13601109,.035714287,.05431791,640243
DUVET-DOUBLE TOG 10-13.5,.58641976,.21022567,.035502959,.40125471,430211
POTATOES- BAKING PR KG,.58571428,.34759742,.14662756,.16140021,212311
